YTD_return,company,symbol
-5.14%,BUILDERS FIRSTSOURCE INC,BLDR
-5.18%,LIVE NATION ENTERTAINMENT IN,LYV
-5.22%,EXPEDIA GROUP INC,EXPE
-5.26%,DOVER CORP,DOV
-5.28%,CORNING INC,GLW
-5.34%,HONEYWELL INTERNATIONAL INC,HON
-5.40%,ROCKWELL AUTOMATION INC,ROK
-5.45%,RALPH LAUREN CORP,RL
-5.52%,ANSYS INC,ANSS
-5.77%,NASDAQ INC,NDAQ
-5.82%,WORKDAY INC CLASS A,WDAY
-5.87%,TRIMBLE INC,TRMB
-5.96%,MARKETAXESS HOLDINGS INC,MKTX
-5.99%,NRG ENERGY INC,NRG
-6.10%,BORGWARNER INC,BWA
-6.12%,HUNT (JB) TRANSPRT SVCS INC,JBHT
-6.32%,CONOCOPHILLIPS,COP
-6.80%,MICROCHIP TECHNOLOGY INC,MCHP
-6.80%,DOW INC,DOW
-6.94%,TRUIST FINANCIAL CORP,TFC
-6.98%,PUBLIC SERVICE ENTERPRISE GP,PEG
-7.10%,FIFTH THIRD BANCORP,FITB
-7.15%,GOLDMAN SACHS GROUP INC,GS
-7.28%,INTERNATIONAL PAPER CO,IP
-7.33%,JABIL INC,JBL
-7.43%,WALT DISNEY CO/THE,DIS
-7.43%,EDWARDS LIFESCIENCES CORP,EW
-7.43%,WABTEC CORP,WAB
-7.51%,JACOBS SOLUTIONS INC,J
-7.54%,INTUITIVE SURGICAL INC,ISRG
-7.58%,M + T BANK CORP,MTB
-7.67%,INGERSOLL RAND INC,IR
-7.75%,INTUIT INC,INTU
-7.77%,APPLIED MATERIALS INC,AMAT
-7.78%,FACTSET RESEARCH SYSTEMS INC,FDS
-7.79%,MARRIOTT INTERNATIONAL  CL A,MAR
-7.80%,ENPHASE ENERGY INC,ENPH
-7.96%,COPART INC,CPRT
-7.97%,MGM RESORTS INTERNATIONAL,MGM
-8.09%,BEST BUY CO INC,BBY
-8.10%,CAPITAL ONE FINANCIAL CORP,COF
-8.12%,HP INC,HPQ
-8.18%,LENNAR CORP A,LEN
-8.26%,NVR INC,NVR
-8.32%,BXP INC,BXP
-8.39%,TRANE TECHNOLOGIES PLC,TT
-8.46%,HALLIBURTON CO,HAL
-8.46%,REGIONS FINANCIAL CORP,RF
-8.47%,AES CORP,AES
-8.84%,CLOROX COMPANY,CLX
-8.94%,ONEOK INC,OKE
-8.97%,HOLOGIC INC,HOLX
-9.03%,CITIZENS FINANCIAL GROUP,CFG
-9.07%,DEXCOM INC,DXCM
-9.11%,MSCI INC,MSCI
-9.16%,APPLE INC,AAPL
-9.20%,INSULET CORP,PODD
-9.22%,KIMCO REALTY CORP,KIM
-9.25%,HOST HOTELS + RESORTS INC,HST
-9.26%,AGILENT TECHNOLOGIES INC,A
-9.36%,MARTIN MARIETTA MATERIALS,MLM
-9.37%,BANK OF AMERICA CORP,BAC
-9.37%,DISCOVER FINANCIAL SERVICES,DFS
-9.40%,FREEPORT MCMORAN INC,FCX
-9.46%,PNC FINANCIAL SERVICES GROUP,PNC
-9.49%,CARMAX INC,KMX
-9.61%,CONSTELLATION ENERGY,CEG
-9.63%,CF INDUSTRIES HOLDINGS INC,CF
-9.73%,CROWDSTRIKE HOLDINGS INC   A,CRWD
-9.74%,GENERAL MOTORS CO,GM
-9.76%,EMERSON ELECTRIC CO,EMR
-9.78%,AMERIPRISE FINANCIAL INC,AMP
-9.81%,MICROSOFT CORP,MSFT
-10.01%,DOLLAR TREE INC,DLTR
-10.02%,HUNTINGTON BANCSHARES INC,HBAN
-10.07%,MOTOROLA SOLUTIONS INC,MSI
-10.17%,ROYAL CARIBBEAN CRUISES LTD,RCL
-10.28%,PRUDENTIAL FINANCIAL INC,PRU
-10.41%,BOOKING HOLDINGS INC,BKNG
-10.59%,DANAHER CORP,DHR
-10.71%,ORACLE CORP,ORCL
-10.72%,BLACKROCK INC,BLK
-10.92%,FEDERAL REALTY INVS TRUST,FRT
-11.02%,IDEX CORP,IEX
-11.03%,AMPHENOL CORP CL A,APH
-11.16%,MORGAN STANLEY,MS
-11.26%,ALBEMARLE CORP,ALB
-11.33%,AMAZON.COM INC,AMZN
-11.40%,RAYMOND JAMES FINANCIAL INC,RJF
-11.42%,US BANCORP,USB
-11.44%,SYNOPSYS INC,SNPS
-11.50%,PACKAGING CORP OF AMERICA,PKG
-11.55%,KEYCORP,KEY
-11.56%,STATE STREET CORP,STT
-11.72%,LAS VEGAS SANDS CORP,LVS
-11.76%,FIDELITY NATIONAL INFO SERV,FIS
-11.88%,ALPHABET INC CL C,GOOG
-11.91%,EQUINIX INC,EQIX
-11.95%,AMERICAN EXPRESS CO,AXP
-12.02%,AKAMAI TECHNOLOGIES INC,AKAM
-12.38%,FEDEX CORP,FDX
-12.38%,ALPHABET INC CL A,GOOGL
-12.43%,PTC INC,PTC
-12.64%,GODADDY INC   CLASS A,GDDY
-12.66%,ROSS STORES INC,ROST
-12.66%,T ROWE PRICE GROUP INC,TROW
-12.68%,BIO TECHNE CORP,TECH
-12.72%,LULULEMON ATHLETICA INC,LULU
-13.10%,COOPER COS INC/THE,COO
-13.27%,AXON ENTERPRISE INC,AXON
-13.38%,GLOBAL PAYMENTS INC,GPN
-13.52%,MODERNA INC,MRNA
-13.95%,VULCAN MATERIALS CO,VMC
-14.19%,DIAMONDBACK ENERGY INC,FANG
-14.27%,CONSTELLATION BRANDS INC A,STZ
-14.46%,FMC CORP,FMC
-14.85%,FAIR ISAAC CORP,FICO
-14.86%,UNITED RENTALS INC,URI
-15.22%,INVESCO LTD,IVZ
-15.25%,GENERAC HOLDINGS INC,GNRC
-15.35%,PENTAIR PLC,PNR
-15.78%,TARGET CORP,TGT
-15.96%,AUTODESK INC,ADSK
-16.18%,SOUTHWEST AIRLINES CO,LUV
-16.30%,BOEING CO/THE,BA
-16.35%,EATON CORP PLC,ETN
-16.64%,TERADYNE INC,TER
-16.81%,DELTA AIR LINES INC,DAL
-17.36%,CHIPOTLE MEXICAN GRILL INC,CMG
-17.63%,APA CORP,APA
-17.88%,GE VERNOVA INC,GEV
-17.88%,DIGITAL REALTY TRUST INC,DLR
-18.37%,SALESFORCE INC,CRM
-18.43%,CAESARS ENTERTAINMENT INC,CZR
-18.50%,ULTA BEAUTY INC,ULTA
-18.57%,EPAM SYSTEMS INC,EPAM
-18.75%,SKYWORKS SOLUTIONS INC,SWKS
-19.17%,BLACKSTONE INC,BX
-19.39%,HUBBELL INC,HUBB
-19.54%,SYNCHRONY FINANCIAL,SYF
-19.81%,SMURFIT WESTROCK PLC,SW
-20.00%,ADVANCED MICRO DEVICES,AMD
-20.06%,UNITED AIRLINES HOLDINGS INC,UAL
-20.14%,PAYPAL HOLDINGS INC,PYPL
-20.34%,NVIDIA CORP,NVDA
-20.44%,BROADCOM INC,AVGO
-20.65%,IRON MOUNTAIN INC,IRM
-20.70%,NETAPP INC,NTAP
-20.80%,SEMPRA,SRE
-21.16%,P G + E CORP,PCG
-21.31%,VISTRA CORP,VST
-21.49%,LAMB WESTON HOLDINGS INC,LW
-21.61%,DELL TECHNOLOGIES  C,DELL
-21.64%,ALIGN TECHNOLOGY INC,ALGN
-21.66%,CELANESE CORP,CE
-22.13%,CADENCE DESIGN SYS INC,CDNS
-22.20%,TELEFLEX INC,TFX
-23.43%,CARNIVAL CORP,CCL
-23.69%,VIATRIS INC,VTRS
-23.70%,APOLLO GLOBAL MANAGEMENT INC,APO
-24.47%,FIRST SOLAR INC,FSLR
-24.68%,DAYFORCE INC,DAY
-25.10%,QUANTA SERVICES INC,PWR
-26.06%,SERVICENOW INC,NOW
-26.63%,ZEBRA TECHNOLOGIES CORP CL A,ZBRA
-26.87%,KKR + CO INC,KKR
-27.17%,NORWEGIAN CRUISE LINE HOLDIN,NCLH
-28.62%,EDISON INTERNATIONAL,EIX
-29.37%,HEWLETT PACKARD ENTERPRISE,HPE
-29.83%,ARISTA NETWORKS INC,ANET
-29.96%,ON SEMICONDUCTOR,ON
-30.99%,WEST PHARMACEUTICAL SERVICES,WST
-32.01%,WESTERN DIGITAL CORP,WDC
-40.37%,DECKERS OUTDOOR CORP,DECK
-44.99%,TESLA INC,TSLA
